"IdCliente";"Razao_Social";"Nome_Fantasia";"CNPJ";"Endereco";"Bairro";"Cidade";"CEP";"Estado";"Inscricao_estadual";"Telefone";"Email"
1;"ALLIANCE STONE MARMORES E GRANITOS LTDA";"ALLIANCE";"07.399.241/0003-66";"ROD GUMERCINO MOURA NUNES";"SOTURNO";"C DE ITAPEMIRIM";"29.321-000";"ES";"";"(28)";"compras@alliancestone.com.br"
2;"ANGRAMAR GRANITOS E MÁRMORES LTDA";"ANGRAMAR";"35.968.288/0001-77";"ROD GUMERCINO MOURA NUNES SNº";"V GRDE SOTURNO";"C DE ITAPEMIRIM";"29.321-000";"ES";"";"(28)2102-1299";"ti@angramar.com.br"
3;"ANTOLINI DO BRASIL PEDRAS NATURAIS LTDA";"ANTOLINI";"05.778.327/0001-02";"RODOVIA ES010";"OURIMAR";"SERRA";"29.173-320";"ES";"";"(27)3434-1300";"rodrigo@antolinidobrasil.com.br"
4;"BRAMAGRAN BRASILEIRO MARM. E GRAN. LTDA";"BRAMAGRAN";"35.989.540/0001-24";"RODOVIA FUED NEMER SN KM07";"ARACUÍ";"CASTELO";"29.360-000";"ES";"";"(28)3542-8150";"nfe@bramagran.com.br"
5;"BRASIGRAN BRASILEIRA DE GRANITOS LTDA";"BRASIGRAN_6022_2de2";"32.476.525/0001-94";"TRES B                             115";"CIVIT II";"SERRA";"29.168-031";"ES";"";"2721-2447";"rh@brasigran.com.br"
6;"BRUMAGRAN PEDRAS ORNAMAENTAIS LTDA";"BRUMAGRAN";"05.841.621/0001-11";"ROD GUMERCINDO MOURA NUNES KM04, s/n";"V GRDE SOTURNO";"C DE ITAPEMIRIM";"29.321-000";"ES";"";"";"financeiro2@brumagran.com.br"
7;"C. FERNANDO R.DA PAZ E CIA LTDA";"CFRP";"25.913.377/0003-24";"ÁREA RURAL DE ANDRADAS";"ÁREA RURAL";"ANDRADAS";"37.842-899";"MG";"";"";"lidia@cfrp.com.br"
8;"CAFELÂNDIA EXT. DE GRANITOS LTDA  EPP";"Vilarinho";"05.008.188/0002-19";"RODOVIA ES 080 SN KM 65";"VILA LUCIENE";"B SÃO FRANCISCO";"29.800-000";"ES";"";"(27)3756-1113";"fiscal@grupovilarinho.com.br"
9;"CAJUGRAM GRAN. E MARM. DO BRASIL LTDA";"CAJUGRAM";"32.440.901/0001-90";"01 BR 101 KM 436";"ZONA RURAL";"MIMOSO DO SUL";"29.400-000";"ES";"";"";"COMPRAS@CAJUGRAM.COM.BR"
10;"CALIMAN PEDRAS DO BRASIL LTDA";"CALIMAN_6025";"07.893.139/0001-50";"RODOVIA FUED NEMER";"CONDURU";"C DE ITAPEMIRIM";"29.329-000";"ES";"";"(28)3522-5077";"calimanltda@gmail.com"
